ObjectId;Department;Title;Artist;ArtistNationality;ObjectDate;ObjectDateBegin;ObjectDateEnd;Medium;Classification;Tags;ImageUrl;Height;Width
435588;European Paintings;A Young Knight of the Garter, Possibly George Augustus (1683–1760), Later George II of Great Britain and Ireland;Benjamin Arlaud;Swiss;;1701;1711;Vellum;Miniatures;Men|Portraits|Knights;https://images.metmuseum.org/CRDImages/ep/web-large/175432.jpg;5.1;4.4
435589;European Paintings;A Woman, Possibly Sophia Dorothea (1687–1757), Later Queen of Prussia;Benjamin Arlaud;Swiss;;1701;1711;Vellum;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/175433.jpg;5.1;4.4
435590;European Paintings;Family Group in a Landscape;Jacques d'Arthois|Flemish Painter;Flemish|Flemish;ca. 1645;1640;1650;Oil on canvas;Paintings;Birds|Boys|Girls|Men|Women|Dogs|Landscapes|Family;https://images.metmuseum.org/CRDImages/ep/web-large/DP-17626-001.jpg;124.8;152.7
435592;European Paintings;Portrait of a Woman with Tapestry Work;Jean-Baptiste Jacques Augustin;French;;1800;1810;Ivory extended by card;Miniatures;Portraits|Women|Needlework;https://images.metmuseum.org/CRDImages/ep/web-large/ep95.14.50.R.jpg;14.3;11.7
435593;European Paintings;Eve with Cain and Abel;Bachiacca (Francesco d'Ubertino Verdi);Italian;1520s;1520;1529;Tempera and oil on wood;Paintings;Abel|Cain|Eve|Infants|Female Nudes;https://images.metmuseum.org/CRDImages/ep/web-large/ep38.178.jpg;40.0;23.5
435594;European Paintings;Leda and the Swan;Bachiacca (Francesco d'Ubertino Verdi);Italian;;1515;1557;Oil on wood;Paintings;Leda|Swans|Infants|Female Nudes|Eggs;https://images.metmuseum.org/CRDImages/ep/web-large/DT5181.jpg;42.9;31.8
435595;European Paintings;Madonna and Child;Bachiacca (Francesco d'Ubertino Verdi);Italian;possibly early 1520s;1520;1523;Oil and gold on wood;Paintings;Madonna and Child;https://images.metmuseum.org/CRDImages/ep/web-large/DT8844.jpg;87.0;67.3
435596;European Paintings;Old Woman in an Armchair;Jacob Backer;Dutch;;1629;1639;Oil on canvas;Paintings;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP146473.jpg;128.0;99.4
435597;European Paintings;Portrait of an Old Woman;Jacob Backer;Dutch;;1625;1649;Oil on wood;Paintings;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP121324.jpg;71.1;61.0
435598;European Paintings;Portrait of a Man, Possibly a Botanist;David Bailly;Dutch;1641;1641;1641;Oil on wood;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP146464.jpg;83.8;62.2
435599;European Paintings;Boatmen of Barcelona;Dionisio Baixeras y Verdaguer;Spanish;1886;1886;1886;Oil on canvas;Paintings;Men|Boats|Ships;https://images.metmuseum.org/CRDImages/ep/web-large/EP603.jpg;149.9;210.8
435600;European Paintings;Saint John on Patmos;Hans Baldung (called Hans Baldung Grien);German;ca. 1511;1506;1516;Oil, gold, and white metal on spruce;Paintings;Eagles|Madonna and Child|Saint John the Evangelist|Saints|Writing;https://images.metmuseum.org/CRDImages/ep/web-large/DP164867.jpg;89.5;76.8
435601;European Paintings;Madonna and Child;Ercole Banci;Italian;;1500;1529;Tempera on wood;Paintings;Madonna and Child;https://images.metmuseum.org/CRDImages/ep/web-large/ep32.100.94.bw.R.jpg;38.7;31.4
435602;European Paintings;Madonna and Child with Saints Philip and Agnes;Donato de' Bardi;Italian;ca. 1425–30;1425;1430;Tempera on wood, gold ground;Paintings;Men|Women|Madonna and Child|Saints;https://images.metmuseum.org/CRDImages/ep/web-large/DP135400.jpg;59.7;64
435603;European Paintings;A Footman Sleeping;Charles Bargue;French;1871;1871;1871;Oil on wood;Paintings;Men|Servants|Sleeping;https://images.metmuseum.org/CRDImages/ep/web-large/ep81.1.656.R.jpg;34.9;26.0
435604;European Paintings;A Bashi-Bazouk;Charles Bargue;French;1875;1875;1875;Oil on canvas;Paintings;Pipes|Men|Orientalist;https://images.metmuseum.org/CRDImages/ep/web-large/DT240201.jpg;46.4;33.3
435607;European Paintings;Scenes from the Life of Christ;Giovanni Baronzio;Italian;mid-1340s;1344;1346;Tempera on canvas, transferred from wood, gold ground;Paintings;Men|Women|Saints|Virgin Mary|Last Judgement|Coronation of the Virgin|Christ;https://images.metmuseum.org/CRDImages/ep/web-large/DP-20397-001.jpg;66.7;38.1
435608;European Paintings;Portrait of a Man;Barrois;French(?);ca. 1790;1785;1795;Ivory;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/37132.jpg;7.0;7.0
435609;European Paintings;Portrait of a Man;John Barry;British;ca. 1790;1785;1795;Ivory;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/80546.jpg;6.3;5.4
435610;European Paintings;Portrait of a Woman;John Barry;British;ca. 1790;1785;1795;Ivory;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/80544.jpg;6.3;5.4
435611;European Paintings;Portrait of a Man, Said to Be John Durham;John Barry;British;ca. 1790;1785;1795;Ivory;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/175490.jpg;6.7;5.7
435614;European Paintings;Madonna and Child with the Young Saint John the Baptist;Fra Bartolomeo (Bartolomeo di Paolo del Fattorino);Italian;ca. 1497;1492;1502;Oil and gold on wood;Paintings;Madonna and Child|Saint John the Baptist;https://images.metmuseum.org/CRDImages/ep/web-large/DP-17017-001.jpg;58.4;43.8
435615;European Paintings;Portrait of a Man;Fra Bartolomeo (Bartolomeo di Paolo del Fattorino);Italian;shortly after 1497;1497;1517;Oil on wood;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DT8842.jpg;39.7;30.8
435616;European Paintings;Saint Dominic Resuscitating Napoleone Orsini;Bartolomeo degli Erri;Italian;1467–74;1467;1474;Tempera on canvas, transferred from wood;Paintings;Men|Dogs|Horses|Saints;https://images.metmuseum.org/CRDImages/ep/web-large/DP-23202-001.jpg;35.6;44.5
435617;European Paintings;Saint Thomas Aquinas Aided by Saints Peter and Paul;Bartolomeo degli Erri;Italian;;1460;1479;Tempera on wood;Paintings;Women|Reading|Saint Paul|Saint Peter;https://images.metmuseum.org/CRDImages/ep/web-large/EP468.jpg;43.2;30.5
435618;European Paintings;The Trinity;Bartolomeo di Giovanni;Italian;;1488;1501;Tempera on wood;Paintings|Frames;Crucifixion|Doves|God the Father|Angels|Christ;https://images.metmuseum.org/CRDImages/ep/web-large/DP-24090-001.jpg;13.0;26.0
435619;European Paintings;The Betrayal of Christ;Bartolomeo di Tommaso;Italian;ca. 1445–50;1440;1450;Tempera on wood;Paintings;Apostles|Christ;https://images.metmuseum.org/CRDImages/ep/web-large/DT200598.jpg;22.2;43.2
435620;European Paintings;The Lamentation and the Entombment;Bartolomeo di Tommaso;Italian;ca. 1445–50;1445;1450;Tempera on wood, gold ground;Paintings;Sadness|Entombment|Lamentation|Christ|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/EP588.jpg;22.2;43.5
435621;European Paintings;Joan of Arc;Jules Bastien-Lepage;French;1879;1879;1879;Oil on canvas;Paintings;Gardens|Joan of Arc;https://images.metmuseum.org/CRDImages/ep/web-large/DP-14201-049.jpg;254.0;279.4
435622;European Paintings;Diana and Cupid;Pompeo Batoni;Italian;1761;1761;1761;Oil on canvas;Paintings;Cupid|Diana|Dogs|Bow and Arrow;https://images.metmuseum.org/CRDImages/ep/web-large/DP-24221-001.jpg;124.5;172.7
435623;European Paintings;Portrait of a Young Man;Pompeo Batoni;Italian;ca. 1760–65;1760;1765;Oil on canvas;Paintings;Books|Men|Portraits|Dogs;https://images.metmuseum.org/CRDImages/ep/web-large/DT4577.jpg;246.7;175.9
435624;European Paintings;Portrait of a Man;David Baudringhien;Dutch;1627;1627;1627;Oil on copper;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/257554.jpg;9.5;7.6
435625;European Paintings;Portrait of a Woman;David Baudringhien;Dutch;;1601;1650;Oil on copper;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/257553.jpg;9.5;7.6
435626;European Paintings;Porte de la Reine at Aigues-Mortes;Jean-Frédéric Bazille;French;1867;1867;1867;Oil on canvas;Paintings;Gates|Horses;https://images.metmuseum.org/CRDImages/ep/web-large/DP-17243-001.jpg;80.6;99.7
435627;European Paintings;In the Sun;Charles-Edouard de Beaumont;French;1875;1875;1875;Oil on canvas;Paintings;Tombs|Couples|Men|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP-23288-001.jpg;59.7;95.9
435630;European Paintings;Edward Miles (1752–1828);Sir William Beechey;British;;1785;1785;Oil on canvas;Paintings;Men|Portraits|Writing;https://images.metmuseum.org/CRDImages/ep/web-large/DP169387.jpg;30.2;25.1
435631;European Paintings;George IV (1762–1830), When Prince of Wales;Sir William Beechey;British;;1773;1839;Oil on canvas;Paintings;Princes|Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP-16453-001.jpg;142.9;113.0
435632;European Paintings;Portrait of a Woman;Sir William Beechey;British;ca. 1805;1800;1810;Oil on canvas;Paintings;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP162139.jpg;127.0;102.2
435633;European Paintings;Skating at Sloten, near Amsterdam;Johannes Abrahamsz Beerstraten;Dutch;;1642;1666;Oil on canvas;Paintings;Men|Women|Churches|Skating|Winter;https://images.metmuseum.org/CRDImages/ep/web-large/DP143154.jpg;111.76022;149.5428
435634;European Paintings;Miss Chambers;Isabella Beetham;British;after 1782;1782;1809;Ivory;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/148754.jpg;5.7;4.8
435635;European Paintings;Chancellor Leonhard von Eck (1480–1550);Barthel Beham;German;1527;1527;1527;Oil on spruce;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP280850.jpg;56.2;37.8
435636;European Paintings;Portrait of a Woman;Rudolphe Bel;Swiss;1822;1822;1822;Paper stretched over metal;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/60097.jpg;12.7;8.9
435637;European Paintings;Charles Coguin, Abbot of Anchin;Jean Bellegambe;French;ca. 1509–13;1509;1513;Oil on wood;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/EP713.jpg;67.9;28.9
435638;European Paintings;The Le Cellier Altarpiece;Jean Bellegambe;French;1509;1509;1509;Oil on wood;Paintings;Men|Women|Madonna and Child|Saints|Angels|Bishops|Monks;https://images.metmuseum.org/CRDImages/ep/web-large/DT11782.jpg;101.6;61.0
435639;European Paintings;Vase of Flowers in a Niche;Michel Bruno Bellengé;French;;1746;1793;Oil on canvas;Paintings;Flowers|Vases;https://images.metmuseum.org/CRDImages/ep/web-large/DP104644.jpg;122.9;139.7
435640;European Paintings;Madonna Adoring the Sleeping Child;Giovanni Bellini;Italian;early 1460s;1460;1463;Tempera on wood;Paintings;Madonna and Child|Sleeping;https://images.metmuseum.org/CRDImages/ep/web-large/DT7219.jpg;72.4;46.4
435641;European Paintings;Madonna and Child;Giovanni Bellini;Italian;late 1480s;1487;1489;Oil on wood;Paintings;Infants|Women|Madonna|Madonna and Child|Jesus;https://images.metmuseum.org/CRDImages/ep/web-large/DT375.jpg;88.9;71.1
435642;European Paintings;Madonna and Child with Saints;Giovanni Bellini;Italian;;1459;1516;Tempera and oil on wood;Paintings;Men|Women|Madonna and Child|Saints;https://images.metmuseum.org/CRDImages/ep/web-large/DP104372.jpg;97.2;153.7
435643;European Paintings;The Circumcision;Giovanni Bellini;Italian;1511;1511;1511;Oil on wood;Paintings;Men|Women|Jesus|Circumcision|Joseph|Priests|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/ep17.190.9.bw.R.jpg;67.9;102.9
435644;European Paintings;Madonna and Child;Giovanni Bellini;Italian;ca. 1510;1505;1515;Oil on wood;Paintings;Birds|Madonna and Child;https://images.metmuseum.org/CRDImages/ep/web-large/DT301874.jpg;34.3;27.6
435645;European Paintings;Madonna and Child;Jacopo Bellini;Italian;probably 1440s;1440;1449;Tempera on wood, gold ground;Paintings;Madonna and Child;https://images.metmuseum.org/CRDImages/ep/web-large/DP255395.jpg;87.6;63.5
435646;European Paintings;Pirna: The Obertor from the South;Bernardo Bellotto;Italian;mid-1750s;1753;1757;Oil on canvas;Paintings;Buildings|Villages;https://images.metmuseum.org/CRDImages/ep/web-large/DT4602.jpg;46.4;78.1
435647;European Paintings;Vaprio d'Adda;Bernardo Bellotto;Italian;1744;1744;1744;Oil on canvas;Paintings;Rivers|Boats|Towns;https://images.metmuseum.org/CRDImages/ep/web-large/DT4603.jpg;64.1;99.7
435648;European Paintings;Project for a Room for King Ludwig II (1854–1886) of Bavaria;Gyula Benczúr;Hungarian;;1864;1920;Oil on canvas;Paintings;Interiors|Tables|Chairs;https://images.metmuseum.org/CRDImages/ep/web-large/DP-22990-001.jpg;78.1;100.3
435649;European Paintings;Judith;Benjamin-Constant (Jean-Joseph-Benjamin Constant);French;possibly ca. 1886;1883;1889;Oil on canvas;Paintings;Swords|Judith;https://images.metmuseum.org/CRDImages/ep/web-large/DT2818.jpg;120.7;80.0
435650;European Paintings;Madame Philippe Panon Desbassayns de Richemont (Jeanne Eglé Mourgue, 1778–1855) and Her Son, Eugène (1800–1859);Marie Guillelmine Benoist;French;1802;1802;1802;Oil on canvas;Paintings;Boys|Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP-13442-001.jpg;116.8;89.5
435651;European Paintings;The Lamentation;Ambrosius Benson;Netherlandish;ca. 1520–25;1520;1525;Oil on canvas, transferred from wood;Paintings;Sadness|Suffering|Mary Magdalene|Saint John the Evangelist|Lamentation|Death|Christ|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/LC-1982_60_23.jpg;91.4;56.2
435655;European Paintings;Rest;Nicolaes Berchem;Dutch;1644;1644;1644;Oil on wood;Paintings;Men|Women|Cows|Dogs|Landscapes;https://images.metmuseum.org/CRDImages/ep/web-large/DP143195.jpg;43.2;34.3
435656;European Paintings;The Assumption of the Virgin;Bergognone (Ambrogio di Stefano da Fossano);Italian;;1500;1523;Oil and gold on wood;Paintings;Assumption of the Virgin|Angels|Virgin Mary;https://images.metmuseum.org/CRDImages/ep/web-large/DT11757.jpg;242.3;108.0
435657;European Paintings;The Twelve Apostles: Saints Bartholomew, Andrew, Matthew, James the Greater, Thaddeus, Philip, James the Lesser, Simon, Peter, Paul, Thomas, and John;Bergognone (Ambrogio di Stefano da Fossano);Italian;;1481;1522;Oil and gold on wood;Paintings;Apostles|Saint Matthew|Saint Paul|Saint Peter|Saints|Men;https://images.metmuseum.org/CRDImages/ep/web-large/ep27.39.2.bw.R.jpg;31.1;15.2
435658;European Paintings;Madonna and Child;Berlinghiero;Italian;possibly 1230s;1230;1239;Tempera on wood, gold ground;Paintings;Madonna and Child;https://images.metmuseum.org/CRDImages/ep/web-large/DT5279.jpg;80.3;53.7
435659;European Paintings;Madonna and Child with Angels;Bernardino da Genoa;Italian;1515;1515;1515;Oil on wood;Paintings;Birds|Lutes|Madonna and Child|Angels;https://images.metmuseum.org/CRDImages/ep/web-large/DP-25352-001.jpg;74.6;57.5
435660;European Paintings;Ravine at Sorrento;Edouard Bertin;French;1821 or later;1821;1871;Oil on paper mounted on board;Drawings;Landscapes;https://images.metmuseum.org/CRDImages/ep/web-large/DP-23365-001.jpg;41.0;29.5
435661;European Paintings;Portrait of a Woman;Vincent Bertrand;French;ca. 1810;1805;1815;Ivory;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/129641.jpg;6.7;5.1
435662;European Paintings;Portrait of a Woman;Vincent Bertrand;French;ca. 1810;1805;1815;Ivory;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/ep45.110.1.R.jpg;10.8;10.2
435663;European Paintings;Still Life with Lobster and Fruit;Abraham van Beyeren;Dutch;probably early 1650s;1650;1653;Oil on wood;Paintings;Fruit|Lobsters|Still Life|Grapes|Lemons;https://images.metmuseum.org/CRDImages/ep/web-large/DP143207.jpg;96.5;78.7
435664;European Paintings;Portrait of a Young Man;Biagio d'Antonio;Italian;probably ca. 1470;1476;1504;Tempera on wood;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP161258.jpg;54.29261;39.37008
435665;European Paintings;Scenes from the Story of the Argonauts;Biagio d'Antonio; ;;1476;1504;Tempera on wood, gilt ornaments;Paintings;Horse Riding|Argonauts|Jason|Orpheus|Men|Women|Dogs|Ships;https://images.metmuseum.org/CRDImages/ep/web-large/DP164778.jpg;61.3;153.4
435666;European Paintings;The Story of Joseph;Biagio d'Antonio;Italian;;1476;1504;Tempera on wood;Paintings;Men|Women|Horse Riding|Camels|Dogs;https://images.metmuseum.org/CRDImages/ep/web-large/DT292812.jpg;68.6;149.9
435668;European Paintings;Saint Nicholas Providing Dowries;Bicci di Lorenzo;Italian;1433–35;1433;1435;Tempera and gold on wood;Paintings;Bedrooms|Women|Saints;https://images.metmuseum.org/CRDImages/ep/web-large/DT273088.jpg;35.8776;61.2776
435669;European Paintings;Saint Nicholas Resuscitating Three Youths;Bicci di Lorenzo;Italian;1433–35;1433;1435;Tempera and gold on wood;Paintings;Men|Women|Saints|Interiors;https://images.metmuseum.org/CRDImages/ep/web-large/DT273089.jpg;30.5;56.5
435670;European Paintings;A Young Woman and a Cavalier;Cornelis Bisschop;Dutch;early 1660s;1660;1663;Oil on canvas;Paintings;Men|Women|Candlesticks|Pitchers;https://images.metmuseum.org/CRDImages/ep/web-large/DP146467.jpg;97.8;88.3
435671;European Paintings;The Angel Appearing to Zacharias;William Blake;British;1799–1800;1799;1800;Pen and black ink, tempera, and glue size on canvas;Paintings;Men|Angels;https://images.metmuseum.org/CRDImages/ep/web-large/DP164838.jpg;26.7;38.1
435672;European Paintings;Angelica and Medoro;Jacques Blanchard;French;possibly early 1630s;1630;1633;Oil on canvas;Paintings;Couples|Male Nudes|Female Nudes;https://images.metmuseum.org/CRDImages/ep/web-large/DT236857.jpg;121.6;175.9
435673;European Paintings;The Outer Harbor of Brest;Henri Joseph van Blarenberghe;French;1773;1773;1773;Oil on canvas;Paintings;Cities|Boats|Ships|Harbors;https://images.metmuseum.org/CRDImages/ep/web-large/DP316906.jpg;74.3;107.0
435678;European Paintings;The Temptation of Saint Anthony;Herri met de Bles;Netherlandish;ca. 1550–60;1550;1560;Oil on wood;Paintings;Fires|Saint Anthony;https://images.metmuseum.org/CRDImages/ep/web-large/DP235224.jpg;22.5;34.9
435680;European Paintings;Moses Striking the Rock;Abraham Bloemaert;Netherlandish;1596;1596;1596;Oil on canvas;Paintings;Men|Women|Female Nudes|Moses|Cows|Dogs;https://images.metmuseum.org/CRDImages/ep/web-large/DP145411.jpg;100.3302;128.27026
435682;European Paintings;Madonna and Child;Boccaccio Boccaccino;Italian;1506–1518;1506;1518;Oil on wood;Paintings;Madonna and Child|Birds;https://images.metmuseum.org/CRDImages/ep/web-large/EP258.jpg;51.8;37.1
435683;European Paintings;Island of the Dead;Arnold Böcklin;Swiss;1880;1880;1880;Oil on wood;Paintings;Tombs|Women|Boats;https://images.metmuseum.org/CRDImages/ep/web-large/DP-14201-003.jpg;73.7;121.9
435684;European Paintings;Roman Landscape;Arnold Böcklin;Swiss;ca. 1850–52;1850;1852;Oil on canvas, several pieces joined;Paintings;Landscapes;https://images.metmuseum.org/CRDImages/ep/web-large/DP-23285-001.jpg;31.8;46.0
435685;European Paintings;A Man with the Initials AC;John Bogle; ;1774;1774;1774;Ivory;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/228818.jpg;3.5;2.9
435686;European Paintings;A Woman with the Initials MCC;John Bogle; ;1773;1773;1773;Ivory;Miniatures;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/228819.jpg;4.1;3.5
435687;European Paintings;Portrait of a Man;Louis Léopold Boilly;French;;1781;1845;Oil on canvas;Paintings;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP-1420-01.jpg;22.2;17.5
435688;European Paintings;Portrait of a Woman;Louis Léopold Boilly;French;;1781;1845;Oil on canvas;Paintings;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP-1419-01.jpg;22.2;17.5
435689;European Paintings;Portrait of a Woman;Ferdinand Bol;Dutch;1642;1642;1642;Oil on canvas;Paintings;Portraits|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DP145922.jpg;87.3;71.1
435690;European Paintings;Petronella Elias (1648–1667) with a Basket of Fruit;Ferdinand Bol;Dutch;1657;1657;1657;Oil on canvas;Paintings;Fruit|Girls|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DP143180.jpg;80.3;66.0
435691;European Paintings;Gossip;Giovanni Boldini;Italian;1873;1873;1873;Oil on wood;Paintings;Interiors|Women;https://images.metmuseum.org/CRDImages/ep/web-large/DT219388.jpg;17.8;24.1
435694;European Paintings;The Dispatch-Bearer;Giovanni Boldini;Italian;?1879;1865;1931;Oil on wood;Paintings;Soldiers|Men|Horse Riding|Streets|Shops;https://images.metmuseum.org/CRDImages/ep/web-large/DP223662.jpg;42.5;34.3
435695;European Paintings;Henry Hope (1735/36–1811), after Jones;Henry Bone;British;1802;1802;1802;Enamel;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/57113.jpg;5.4;4.4
435696;European Paintings;Thomas Howard (1585–1646), Second Earl of Arundel, after Rubens;Henry Bone;British;1808;1808;1808;Enamel;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/50669.jpg;18.4;14.6
435697;European Paintings;George IV (1762–1830) as Prince Regent, after Lawrence;Henry Bone;British;1816;1816;1816;Enamel;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/DT200600.jpg;6.3;5.1
435698;European Paintings;Matthew Baillie (1761–1823), F.R.S., after Hoppner;Henry Bone;British;1817;1817;1817;Enamel;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/EP758.jpg;13.0;10.2
435699;European Paintings;Charles X (1757–1836), King of France, after Gérard;Henry Bone;British;1829;1829;1829;Enamel;Miniatures;Kings|Men|Portraits|Crowns;https://images.metmuseum.org/CRDImages/ep/web-large/ep24.80.523.R.jpg;36.2;26.0
435700;European Paintings;Algernon Percy (1602–1668), Tenth Earl of Northumberland, after Van Dyck;Henry Bone;British;1827;1827;1827;Enamel;Miniatures;Men|Portraits;https://images.metmuseum.org/CRDImages/ep/web-large/50673.jpg;17.8;13.7
435701;European Paintings;Environs of Fontainebleau: Woodland and Cattle;Auguste-François Bonheur;French;;1844;1884;Oil on canvas;Paintings;Cows|Forests;https://images.metmuseum.org/CRDImages/ep/web-large/ep90.25.bw.R.jpg;265.4;399.4
435702;European Paintings;The Horse Fair;Rosa Bonheur;French;1852–55;1852;1855;Oil on canvas;Paintings;Men|Horse Riding|Horses|Paris;https://images.metmuseum.org/CRDImages/ep/web-large/DP-23550-001.jpg;244.5;506.7
435703;European Paintings;Weaning the Calves;Rosa Bonheur;French;1879;1879;1879;Oil on canvas;Paintings;Cows;https://images.metmuseum.org/CRDImages/ep/web-large/DT2579.jpg;65.1;81.3
435704;European Paintings;A Limier Briquet Hound;Rosa Bonheur;French;ca. 1856;1856;1856;Oil on canvas;Paintings;Dogs;https://images.metmuseum.org/CRDImages/ep/web-large/DP123961.jpg;36.8;45.7
